Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
1,Lamar Jackson (BAL),254,379,67.0,3290,8.7,29,3,19,111,678,3,4,13,324.4,25.0,99.8%,QB,half-ppr
2,Josh Allen (BUF),252,393,64.1,3033,7.7,23,5,13,80,416,9,2,13,308.6,23.7,99.8%,QB,half-ppr
3,Joe Burrow (CIN),335,490,68.4,3706,7.6,33,6,32,35,158,1,3,13,290.1,22.3,97.8%,QB,half-ppr
4,Jalen Hurts (PHI),222,325,68.3,2602,8.0,16,5,35,132,544,13,4,13,287.4,22.1,99.7%,QB,half-ppr
5,Baker Mayfield (TB),306,436,70.2,3329,7.6,28,13,32,45,241,3,2,13,272.3,20.9,85.1%,QB,half-ppr
6,Jayden Daniels (WAS),252,362,69.6,2819,7.8,15,6,29,108,590,6,0,13,267.7,20.6,97.4%,QB,half-ppr
7,Sam Darnold (MIN),264,386,68.4,3299,8.5,28,10,40,56,194,1,4,13,251.3,19.3,72.0%,QB,half-ppr
8,Bo Nix (DEN),277,434,63.8,2842,6.5,17,8,19,67,304,4,0,13,234.2,18.0,69.0%,QB,half-ppr
9,Jared Goff (DET),276,381,72.4,3265,8.6,25,10,23,29,47,0,0,13,232.1,17.9,78.9%,QB,half-ppr
10,Kyler Murray (ARI),271,396,68.4,2862,7.2,15,8,23,58,444,4,3,13,231.0,17.8,94.5%,QB,half-ppr
11,Patrick Mahomes II (KC),316,464,68.1,3189,6.9,20,11,35,50,248,1,0,13,227.4,17.5,97.8%,QB,half-ppr
12,Brock Purdy (SF),233,349,66.8,3032,8.7,15,8,23,58,282,4,3,12,219.6,18.3,89.9%,QB,half-ppr
13,Geno Smith (SEA),324,466,69.5,3474,7.5,14,12,40,46,226,2,0,13,217.6,16.7,54.6%,QB,half-ppr
14,Caleb Williams (CHI),270,434,62.2,2746,6.3,16,5,56,63,405,0,3,13,209.3,16.1,60.0%,QB,half-ppr
15,Jordan Love (GB),206,328,62.8,2724,8.3,21,11,11,22,71,1,0,11,199.0,18.1,87.4%,QB,half-ppr
16,Justin Herbert (LAC),234,366,63.9,2764,7.6,14,1,35,54,224,2,2,13,198.2,15.2,73.6%,QB,half-ppr
17,Matthew Stafford (LAR),293,439,66.7,3303,7.5,19,7,28,17,11,0,2,13,198.2,15.2,50.9%,QB,half-ppr
18,Aaron Rodgers (NYJ),289,458,63.1,2966,6.5,20,8,31,15,56,0,1,13,196.2,15.1,36.8%,QB,half-ppr
19,C.J. Stroud (HOU),272,430,63.3,3117,7.2,15,9,41,43,199,0,3,13,189.6,14.6,88.5%,QB,half-ppr
20,Kirk Cousins (ATL),292,436,67.0,3396,7.8,17,15,25,20,0,0,2,13,184.8,14.2,50.7%,QB,half-ppr
21,Tua Tagovailoa (MIA),240,325,73.8,2456,7.6,17,4,18,15,50,0,1,9,169.2,18.8,70.8%,QB,half-ppr
22,Derek Carr (NO),189,279,67.7,2145,7.7,15,5,8,17,71,1,0,10,156.0,15.6,29.8%,QB,half-ppr
23,Trevor Lawrence (JAC),172,284,60.6,2045,7.2,11,7,18,26,119,3,1,10,152.2,15.2,20.7%,QB,half-ppr
24,Daniel Jones (MIN),216,341,63.3,2070,6.1,8,7,29,67,265,2,2,10,142.3,14.2,7.5%,QB,half-ppr
25,Jameis Winston (CLE),165,271,60.9,1975,7.3,13,9,19,23,85,1,2,11,140.6,12.8,31.7%,QB,half-ppr
26,Drake Maye (NE),172,256,67.2,1696,6.6,11,8,25,38,345,1,4,10,140.3,14.0,17.0%,QB,half-ppr
27,Anthony Richardson (IND),102,215,47.4,1511,7.0,7,9,11,70,383,4,3,9,137.9,15.3,67.0%,QB,half-ppr
28,Dak Prescott (DAL),185,286,64.7,1978,6.9,11,8,21,13,54,1,1,8,124.5,15.6,50.5%,QB,half-ppr
29,Russell Wilson (PIT),138,213,64.8,1784,8.4,12,3,19,26,44,1,2,7,122.8,17.5,56.5%,QB,half-ppr
30,Will Levis (TEN),173,272,63.6,1827,6.7,12,9,39,39,175,0,4,10,121.6,12.2,22.3%,QB,half-ppr
31,Justin Fields (PIT),106,161,65.8,1106,6.9,5,1,16,61,281,5,1,9,119.3,13.3,8.3%,QB,half-ppr
32,Bryce Young (CAR),158,268,59.0,1572,5.9,7,7,15,28,137,2,0,10,109.4,10.9,6.2%,QB,half-ppr
33,Gardner Minshew II (LV),203,306,66.3,2013,6.6,9,10,29,19,58,0,4,10,106.5,10.7,2.9%,QB,half-ppr
34,Deshaun Watson (CLE),137,216,63.4,1148,5.3,5,3,33,31,148,1,3,7,79.6,11.4,6.7%,QB,half-ppr
35,Joe Flacco (IND),113,170,66.5,1167,6.9,9,5,13,8,25,0,3,6,74.3,12.4,2.1%,QB,half-ppr
36,Cooper Rush (DAL),128,216,59.3,1191,5.5,7,3,10,18,15,0,2,9,72.1,8.0,7.4%,QB,half-ppr
37,Andy Dalton (CAR),106,160,66.3,989,6.2,7,6,7,11,34,0,0,6,64.9,10.8,1.1%,QB,half-ppr
38,Mason Rudolph (TEN),76,128,59.4,806,6.3,4,4,6,13,61,1,1,4,54.3,13.6,0.6%,QB,half-ppr
39,Aidan O'Connell (LV),86,136,63.2,899,6.6,4,3,7,7,6,1,2,6,51.7,8.6,3.9%,QB,half-ppr
40,Malik Willis (GB),29,39,74.4,380,9.7,3,0,5,16,137,1,0,5,46.9,9.4,2.6%,QB,half-ppr
41,Jacoby Brissett (NE),94,159,59.1,828,5.2,2,1,18,15,62,0,1,7,46.3,6.6,3.1%,QB,half-ppr
42,Mac Jones (JAC),80,123,65.0,732,6.0,2,5,7,13,24,1,2,6,38.6,6.4,3.4%,QB,half-ppr
43,Drew Lock (NYG),46,90,51.1,414,4.6,0,2,9,10,129,1,1,4,33.4,8.4,1.9%,QB,half-ppr
44,Tyler Huntley (MIA),39,66,59.1,377,5.7,1,1,7,16,67,1,1,3,28.8,9.6,1.1%,QB,half-ppr
45,Spencer Rattler (NO),59,99,59.6,571,5.8,1,2,14,9,61,0,2,3,26.9,9.0,1.1%,QB,half-ppr
46,Marcus Mariota (WAS),19,26,73.1,203,7.8,2,0,1,13,36,0,0,2,19.7,9.9,0.7%,QB,half-ppr
47,Jake Haener (NO),14,29,48.3,177,6.1,1,0,3,10,15,0,0,7,12.6,1.8,0.0%,QB,half-ppr
48,Tommy DeVito (NYG),21,31,67.7,189,6.1,0,0,4,7,32,0,0,2,10.8,5.4,3.3%,QB,half-ppr
49,Desmond Ridder (LV),28,44,63.6,239,5.4,1,0,7,4,8,0,2,3,10.4,3.5,0.1%,QB,half-ppr
50,Brandon Allen (SF),17,30,56.7,199,6.6,1,2,2,3,4,0,1,3,8.4,2.8,1.0%,QB,half-ppr
51,Skylar Thompson (MIA),21,33,63.6,187,5.7,0,0,6,1,4,0,0,3,7.9,2.6,2.0%,QB,half-ppr
52,Tim Boyle (NYG),15,26,57.7,153,5.9,0,0,1,2,10,0,0,2,7.2,3.6,0.0%,QB,half-ppr
53,Tyrod Taylor (NYJ),6,8,75.0,36,4.5,1,0,0,1,7,0,0,1,6.1,6.1,0.6%,QB,half-ppr
54,Dorian Thompson-Robinson (CLE),11,25,44.0,82,3.3,0,2,1,3,44,0,0,3,5.7,1.9,0.0%,QB,half-ppr
55,Davis Mills (HOU),7,13,53.8,79,6.1,0,0,1,0,0,0,0,2,3.2,1.6,0.1%,QB,half-ppr
56,Hendon Hooker (DET),6,9,66.7,62,6.9,0,0,1,5,2,0,0,3,2.7,0.9,0.2%,QB,half-ppr
57,Taylor Heinicke (LAC),2,2,100.0,24,12.0,0,0,3,1,12,0,0,2,2.2,1.1,0.0%,QB,half-ppr
58,Michael Penix Jr. (ATL),3,5,60.0,38,7.6,0,0,1,0,0,0,0,2,1.6,0.8,2.1%,QB,half-ppr
59,Nick Mullens (MIN),2,2,100.0,38,19.0,0,0,0,3,-2,0,0,4,1.4,0.4,0.1%,QB,half-ppr
60,Trey Lance (DAL),4,6,66.7,21,3.5,0,1,2,4,14,0,0,2,1.2,0.6,0.9%,QB,half-ppr
61,Kyle Allen (PIT),1,1,100.0,19,19.0,0,0,0,0,0,0,0,1,0.8,0.8,0.0%,QB,half-ppr
62,Josh Johnson (BAL),1,1,100.0,1,1.0,0,0,0,3,2,0,0,3,0.2,0.1,0.1%,QB,half-ppr
63,Kenny Pickett (PHI),1,3,33.3,5,1.7,0,0,1,3,-1,0,0,3,0.1,0.0,0.2%,QB,half-ppr
64,Zach Wilson (DEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
65,Sam Ehlinger (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
66,Kyle Trask (TB),1,1,100.0,5,5.0,0,0,0,2,-2,0,0,2,0.0,0.0,0.0%,QB,half-ppr
67,Ben DiNucci (NO),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
68,Shane Buechele (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
69,Jake Luton (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
70,Sean Clifford (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
71,Feleipe Franks (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,QB,half-ppr
72,Michael Pratt (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
73,Tanner Mordecai (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
74,Chris Oladokun (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
75,Devin Leary (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
76,Tanner McKee (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
77,Austin Reed (CHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
78,Carter Bradley (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
79,Jack Plummer (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
80,Jason Bean (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
81,John Rhys Plumlee (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
82,Jordan Travis (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
83,Joe Milton III (NE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
84,Adrian Martinez (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
85,Sam Howell (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,1.3%,QB,half-ppr
86,J.J. McCarthy (MIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.0%,QB,half-ppr
87,Malik Cunningham (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
88,Sam Hartman (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,QB,half-ppr
89,Jaren Hall (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
90,Anthony Brown Jr. (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
91,Stetson Bennett (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
92,Bailey Zappe (CLE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
93,Kedon Slovis (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
94,Jake Fromm (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
95,Ben Chappell (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
96,Adam Froman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
97,Erik Ainge (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
98,Hunter Cantwell (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
99,Case Keenum (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
100,Logan Woodside (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
101,Taysom Hill (NO),2,4,50.0,21,5.3,0,1,0,39,278,6,1,8,0.0,0.0,27.5%,QB,half-ppr
102,Mike White (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
103,Joshua Dobbs (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
104,Nathan Peterman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
105,C.J. Beathard (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
106,Easton Stick (LAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
107,Alex McGough (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
108,Brett Rypien (MIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
109,John Wolford (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
110,Will Grier (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
111,Jimmy Garoppolo (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
112,Brett Smith (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
113,Carson Wentz (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
114,Jeff Driskel (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,QB,half-ppr
115,Trevor Siemian (TEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
116,Jake Browning (CIN),0,0,0.0,0,0.0,0,0,0,1,-1,0,0,2,-0.1,-0.1,0.6%,QB,half-ppr
117,Jarrett Stidham (DEN),0,0,0.0,0,0.0,0,0,0,2,-2,0,0,2,-0.2,-0.1,0.6%,QB,half-ppr
118,Tyson Bagent (CHI),1,1,100.0,6,6.0,0,0,0,6,-7,0,0,3,-0.5,-0.2,0.1%,QB,half-ppr
119,Mitchell Trubisky (BUF),3,4,75.0,9,2.3,0,0,0,11,-10,0,0,7,-0.6,-0.1,0.1%,QB,half-ppr
120,Clayton Tune (ARI),0,0,0.0,0,0.0,0,0,0,5,-5,0,1,4,-2.5,-0.6,0.0%,QB,half-ppr
